1.25    0.5
1.5     1
2.5     1.5
3       1.5
3.5     2
4       2.5
4.5     2.5
5       3
5.5     3
6       3.5
6.5     3.5
7       4
7.5     4.5
8       5
8.5     5.5
8.75    6
9       6.5
9.25    7.5
9.5     8.5
9.75    9.5
10      12.5
10.25   12.5
10.5    16
10.75   19.5
11      28.5
